author_id,author_name,orcid,works_count,citations_sum,oa_share,multi_institution_share,papers_since_2020,coauthors_count,top_concepts,is_key_researcher
https://openalex.org/A5059235723,Jenny van Doorn,https://orcid.org/0000-0002-6871-9623,1,102,100.0,100.0,1,3,Psychology (1); Service (business) (1); Knowledge management (1); Business (1); Marketing (1),False
https://openalex.org/A5059258933,Hartmut Hirsch‐Kreinsen,https://orcid.org/0000-0002-3721-3689,1,47,100.0,0.0,1,0,Perspective (graphical) (1); Computer science (1); Artificial intelligence (1); Management science (1); Data science (1),False
https://openalex.org/A5059384741,David Sattlegger,https://orcid.org/0000-0002-8336-4672,1,391,100.0,0.0,1,4,Anomaly detection (1); Computer science (1); Artificial intelligence (1); Pattern recognition (psychology) (1); Convolutional neural network (1),False
https://openalex.org/A5059643127,Zain Alabdeen Othman,,1,128,100.0,100.0,1,16,Medical education (1); Cross-sectional study (1); Field (mathematics) (1); Positive attitude (1); Perception (1),False
https://openalex.org/A5059860750,Nikos Tziritas,https://orcid.org/0000-0002-2091-2037,1,114,0.0,100.0,1,3,Computer science (1); Autoencoder (1); Computer security (1); Transparency (behavior) (1); Confidentiality (1),False
https://openalex.org/A5059994422,Jon Rodriguez,,1,213,0.0,100.0,1,3,Computer science (1); Deep learning (1); Artificial intelligence (1); Variety (cybernetics) (1); Adaptability (1),False
https://openalex.org/A5060349093,Mohamed Elsayed,https://orcid.org/0000-0002-0011-7837,1,128,100.0,100.0,1,16,Medical education (1); Cross-sectional study (1); Field (mathematics) (1); Positive attitude (1); Perception (1),False
https://openalex.org/A5060499961,Oscar Méndez‐Lucio,https://orcid.org/0000-0003-0345-1168,1,159,0.0,100.0,1,3,Computer science (1); Artificial intelligence (1); Deep learning (1); Machine learning (1); Key (lock) (1),False
https://openalex.org/A5060643121,Ayalew Kassahun,https://orcid.org/0000-0003-1066-7127,1,145,100.0,100.0,1,2,Computer science (1); Artificial intelligence (1); Convolutional neural network (1); Deep learning (1); Machine learning (1),False
https://openalex.org/A5060691228,Ryan Wright,https://orcid.org/0000-0002-9719-415X,1,2960,100.0,100.0,1,72,Transformative learning (1); Generative grammar (1); Knowledge management (1); Hospitality (1); Engineering ethics (1),False
https://openalex.org/A5060719444,Kilian Batzner,,1,391,100.0,0.0,1,4,Anomaly detection (1); Computer science (1); Artificial intelligence (1); Pattern recognition (psychology) (1); Convolutional neural network (1),False
