Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
41;21100900514;"Obrazovanie i Nauka";journal;"19945639, 23105828";"Russian State Vocational Pedagogical University";Yes;No;0,235;Q3;16;70;216;3144;211;216;0,96;44,91;63,46;0;40;Russian Federation;Eastern Europe;"Russian State Vocational Pedagogical University";"2018-2025";"Education (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Developmental and Educational Psychology (Q4)";"Health Professions; Psychology; Social Sciences"
42;5800207863;"Eesti Rakenduslingvistika Uhingu Aastaraamat";journal;"17362563";"Estonian Association Applied Linguists";Yes;Yes;0,225;Q3;10;13;48;589;20;48;0,44;45,31;86,67;0;1;Estonia;Eastern Europe;"Estonian Association Applied Linguists";"2005-2024";"Linguistics and Language (Q2); Education (Q3)";"Social Sciences"
43;21100840458;"Periodicals of Engineering and Natural Sciences";journal;"23034521";"International University of Sarajevo";Yes;No;0,222;Q3;27;46;564;1793;720;563;1,40;38,98;37,50;0;22;Bosnia and Herzegovina;Eastern Europe;"International University of Sarajevo";"2017-2025";"Architecture (Q2); Computer Science (miscellaneous) (Q3); Education (Q3); Electrical and Electronic Engineering (Q3); Industrial and Manufacturing Engineering (Q3); Mechanical Engineering (Q3); Bioengineering (Q4); Biomedical Engineering (Q4)";"Chemical Engineering; Computer Science; Engineering; Social Sciences"
44;21100857102;"Ethics and Bioethics (in Central Europe)";journal;"13385615, 24537829";"Sciendo";Yes;Yes;0,219;Q3;6;21;68;794;53;65;0,86;37,81;27,59;0;3;Poland;Eastern Europe;"Sciendo";"2017-2024";"Philosophy (Q2); Education (Q3); Health Policy (Q4)";"Arts and Humanities; Medicine; Social Sciences"
45;12900154728;"New Educational Review";journal;"17326729";"Adam Marszalek Publishing House";No;No;0,219;Q3;18;66;219;1472;146;214;0,65;22,30;64,16;0;22;Poland;Eastern Europe;"Adam Marszalek Publishing House";"2008-2024";"Education (Q3)";"Social Sciences"
46;21100873638;"Philologia Estonica Tallinnensis";journal;"25046624, 25046616";"Tallinn University";Yes;No;0,217;Q3;5;7;28;264;12;27;0,50;37,71;100,00;0;1;Estonia;Eastern Europe;"Tallinn University";"2016-2024";"Literature and Literary Theory (Q1); Linguistics and Language (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
47;21100881506;"Przestrzen Spoleczna";journal;"20841558, 20847696";"";Yes;No;0,210;Q3;7;0;64;0;84;59;1,44;0,00;0,00;0;0;Poland;Eastern Europe;"";"2018-2022";"Cultural Studies (Q2); Demography (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Education (Q3); Geography, Planning and Development (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Urban Studies (Q3); Social Psychology (Q4)";"Economics, Econometrics and Finance; Psychology; Social Sciences"
48;21100203318;"Cardiovascular Therapy and Prevention (Russian Federation)";journal;"17288800";"Vserossiiskoe Obshchestvo Kardiologov";Yes;Yes;0,210;Q4;26;218;617;7416;559;588;0,85;34,02;68,17;0;129;Russian Federation;Eastern Europe;"Vserossiiskoe Obshchestvo Kardiologov";"2011-2024";"Cardiology and Cardiovascular Medicine (Q4); Education (Q4)";"Medicine; Social Sciences"
49;21100827888;"Studia Paedagogica";journal;"18037437, 23364521";"Masaryk University, Faculty of Arts";Yes;Yes;0,209;Q4;9;6;73;286;35;71;0,41;47,67;72,73;0;2;Czech Republic;Eastern Europe;"Masaryk University, Faculty of Arts";"2017-2024";"Education (Q4)";"Social Sciences"
50;21101072016;"Neofilolog";journal;"14292173, 25453971";"Polskie Towarzystwo Neofilologiczne";Yes;Yes;0,208;Q4;4;56;134;2150;32;126;0,26;38,39;76,00;0;11;Poland;Eastern Europe;"Polskie Towarzystwo Neofilologiczne";"2019-2024";"Linguistics and Language (Q2); Education (Q4)";"Social Sciences"
51;21100229177;"Journal of Psychological and Educational Research";journal;"22471537";"Editura Universitati din Oradea";No;No;0,204;Q4;11;19;48;1038;32;47;0,63;54,63;64,81;0;6;Romania;Eastern Europe;"Editura Universitati din Oradea";"2011-2024";"Applied Psychology (Q4); Developmental and Educational Psychology (Q4); Education (Q4)";"Psychology; Social Sciences"
52;21100780996;"Psychology, Journal of the Higher School of Economics";journal;"18138918";"National Research University Higher School of Economics";No;No;0,204;Q4;10;44;150;1851;85;145;0,37;42,07;66,67;0;4;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2016-2024";"Cultural Studies (Q2); Education (Q4); Psychology (miscellaneous) (Q4)";"Psychology; Social Sciences"
53;5700169467;"Sodobna Pedagogika/Journal of Contemporary Educational Studies";journal;"00380474";"Association of Slovenian Educationalists";No;No;0,201;Q4;8;36;156;1351;48;143;0,20;37,53;84,00;0;13;Slovenia;Eastern Europe;"Association of Slovenian Educationalists";"2015-2024";"Education (Q4)";"Social Sciences"
54;21100900142;"Theory and Practice of Second Language Acquisition";journal;"24505455, 24512125";"University of Silesia Press in Katowice";Yes;Yes;0,195;Q4;6;27;64;1370;42;58;0,60;50,74;47,06;0;5;Poland;Eastern Europe;"University of Silesia Press in Katowice";"2018-2024";"Linguistics and Language (Q2); Developmental and Educational Psychology (Q4); Education (Q4)";"Psychology; Social Sciences"
55;21100258947;"Teoriya i Praktika Fizicheskoy Kultury";journal;"00403601";"Committee on Physical Culture and Sports of the Council of Ministers of the USSR";No;No;0,194;Q4;14;615;1596;3278;285;1394;0,21;5,33;58,21;0;79;Russian Federation;Eastern Europe;"Committee on Physical Culture and Sports of the Council of Ministers of the USSR";"1955, 1961, 2012-2025";"Education (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4)";"Health Professions; Social Sciences"
56;21100886400;"Education and Self Development";journal;"19917740";"Kazan Federal University";Yes;No;0,193;Q4;10;54;200;1518;101;186;0,48;28,11;75,36;0;26;Russian Federation;Eastern Europe;"Kazan Federal University";"2018-2024";"Political Science and International Relations (Q3); Development (Q4); Education (Q4)";"Social Sciences"
57;21101034433;"Musical Art and Education";journal;"23091428";"Moscow Pedagogical State University";Yes;No;0,193;Q4;5;34;130;636;30;130;0,18;18,71;82,50;0;3;Russian Federation;Eastern Europe;"Moscow Pedagogical State University";"2019-2024";"Music (Q2); Developmental and Educational Psychology (Q4); Education (Q4)";"Arts and Humanities; Psychology; Social Sciences"
58;21100896882;"Journal of Educational and Social Research";journal;"2239978X, 22400524";"Richtmann Publishing Ltd";No;No;0,192;Q4;15;197;482;7631;385;482;0,82;38,74;49,20;0;92;Poland;Eastern Europe;"Richtmann Publishing Ltd";"2018-2025";"Social Sciences (miscellaneous) (Q3); Education (Q4)";"Social Sciences"
59;21100790339;"Integration of Education";journal;"19919468, 23081058";"National Research Ogarev Mordovia State University";Yes;Yes;0,190;Q4;12;37;117;1315;90;117;0,85;35,54;68,87;0;18;Russian Federation;Eastern Europe;"National Research Ogarev Mordovia State University";"2016-2024";"Cultural Studies (Q2); Linguistics and Language (Q2); Developmental and Educational Psychology (Q4); Education (Q4)";"Psychology; Social Sciences"
60;21100265696;"International Journal of Euro-Mediterranean Studies";journal;"22326022, 18553362";"EMUNI University";Yes;Yes;0,189;Q4;5;13;31;584;19;27;0,50;44,92;60,00;0;6;Slovenia;Eastern Europe;"EMUNI University";"2012-2024";"History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics and Econometrics (Q4); Education (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
61;21101268226;"National Psychological Journal";journal;"20796617, 23099828";"Lomonosov Moscow State University";Yes;Yes;0,186;Q4;4;52;65;1959;34;65;0,55;37,67;67,55;0;11;Russian Federation;Eastern Europe;"Lomonosov Moscow State University";"2020-2021, 2023-2024";"Applied Psychology (Q4); Education (Q4); Experimental and Cognitive Psychology (Q4); Psychology (miscellaneous) (Q4)";"Psychology; Social Sciences"
62;21101145499;"Slobozhanskyi Herald of Science and Sport";journal;"23116374, 19910177";"Kharkiv State Academy of Physical Culture";Yes;Yes;0,182;Q4;6;20;117;612;54;117;1,02;30,60;45,98;0;4;Ukraine;Eastern Europe;"Kharkiv State Academy of Physical Culture";"2019-2024";"Education (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4)";"Health Professions; Social Sciences"
63;14008;"Hrvatska Revija Za Rehabilitacijska Istrazivanja";journal;"13313010";"University of Zagreb, Faculty of Education and Rehabilitation Sciences";Yes;Yes;0,180;Q4;13;16;66;1027;36;64;0,56;64,19;79,41;0;2;Croatia;Eastern Europe;"University of Zagreb, Faculty of Education and Rehabilitation Sciences";"1999-2006, 2008-2024";"Social Sciences (miscellaneous) (Q3); Education (Q4); Health (social science) (Q4); Rehabilitation (Q4)";"Medicine; Social Sciences"
64;21100851349;"Metodicki Ogledi";journal;"18482325, 0353765X";"Croatian Philosophical Society";No;No;0,179;Q4;4;13;81;556;16;78;0,19;42,77;91,30;0;5;Croatia;Eastern Europe;"Croatian Philosophical Society";"2017-2024";"Philosophy (Q2); Education (Q4)";"Arts and Humanities; Social Sciences"
65;14000156183;"Croatian Journal of Education";journal;"18485197, 18485189";"Faculty of Teacher Education, University of Zagreb";Yes;No;0,177;Q4;15;32;150;1375;54;136;0,29;42,97;63,08;0;12;Croatia;Eastern Europe;"Faculty of Teacher Education, University of Zagreb";"2011-2024";"Education (Q4)";"Social Sciences"
66;21101052865;"Detskie Chtenia";journal;"26867052, 23045817";"Institute of Russian Literature (The Pushkin House), Russian Academy of Sciences";Yes;Yes;0,177;Q4;3;29;118;881;16;113;0,14;30,38;73,33;0;2;Russian Federation;Eastern Europe;"Institute of Russian Literature (The Pushkin House), Russian Academy of Sciences";"2019-2024";"Literature and Literary Theory (Q1); Education (Q4)";"Arts and Humanities; Social Sciences"
67;21101034439;"Studia Sportiva";journal;"25708783, 18027679";"Masaryk University Faculty of Sports Studies";No;No;0,176;Q4;4;34;86;1299;45;86;0,53;38,21;34,69;0;4;Czech Republic;Eastern Europe;"Masaryk University Faculty of Sports Studies";"2019-2024";"Applied Psychology (Q4); Education (Q4); Health (social science) (Q4); Orthopedics and Sports Medicine (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Health Professions; Medicine; Psychology; Social Sciences"
68;11700154706;"Pedagogika";journal;"20290551, 13920340";"Vytautas Magnus University";Yes;Yes;0,173;Q4;11;31;143;1460;91;141;0,67;47,10;68,00;0;5;Lithuania;Eastern Europe;"Vytautas Magnus University";"2008-2025";"Education (Q4)";"Social Sciences"
69;35961;"Glasnik - Srpskog Geografskog Drustva";journal;"2406078X, 03503593";"Geografsko Drustvo";Yes;Yes;0,172;Q4;6;24;81;839;36;81;0,39;34,96;24,53;0;15;Serbia;Eastern Europe;"Geografsko Drustvo";"1981-1984, 2019-2024";"Atmospheric Science (Q4); Education (Q4); Geography, Planning and Development (Q4); Geology (Q4); Global and Planetary Change (Q4)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
70;21101039065;"Ethics in Progress";journal;"20849257";"Adam Mickiewicz University, Faculty of Philosophy";Yes;Yes;0,171;Q4;6;17;58;751;21;57;0,36;44,18;52,00;0;3;Poland;Eastern Europe;"Adam Mickiewicz University, Faculty of Philosophy";"2010-2024";"Philosophy (Q2); Developmental and Educational Psychology (Q4); Education (Q4); Psychology (miscellaneous) (Q4)";"Arts and Humanities; Psychology; Social Sciences"
71;21100976733;"Przeglad Rusycystyczny";journal;"0137298X";"Polskie Towarzystwo Rusycystyczne";Yes;Yes;0,168;Q4;2;48;170;1748;9;165;0,03;36,42;55,77;0;3;Poland;Eastern Europe;"Polskie Towarzystwo Rusycystyczne";"2019-2024";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Philosophy (Q2); Linguistics and Language (Q3); Education (Q4)";"Arts and Humanities; Social Sciences"
72;21101037305;"Russian Psychological Journal";journal;"18121853, 24115789";"Russian Psychological Society";Yes;No;0,168;Q4;5;58;153;2638;82;153;0,54;45,48;65,09;0;19;Russian Federation;Eastern Europe;"Russian Psychological Society";"2019-2024";"Philosophy (Q2); Cognitive Neuroscience (Q4); Education (Q4); Psychology (miscellaneous) (Q4)";"Arts and Humanities; Neuroscience; Psychology; Social Sciences"
73;21100927241;"Acta Paedagogica Vilnensia";journal;"13925016, 1648665X";"Vilnius University Press";Yes;Yes;0,164;Q4;5;25;72;1002;37;70;0,30;40,08;78,85;0;13;Lithuania;Eastern Europe;"Vilnius University Press";"2019-2024";"Education (Q4)";"Social Sciences"
