Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
43;13453;"Learning and Individual Differences";journal;"18733425, 10416080";"Elsevier B.V.";No;No;1,591;Q1;113;135;244;11475;2604;241;12,70;85,00;57,67;1;46;United Kingdom;Western Europe;"Elsevier B.V.";"1989-2000, 2002-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
44;21101075549;"Postdigital Science and Education";journal;"2524485X, 25244868";"Springer International Publishing AG";No;No;1,591;Q1;36;100;172;5820;1006;93;5,67;58,20;52,15;3;17;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2025";"Arts and Humanities (miscellaneous) (Q1); Education (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
45;25961;"Educational Studies in Mathematics";journal;"15730816, 00131954";"Springer Netherlands";No;No;1,589;Q1;89;82;243;4094;1018;234;3,65;49,93;55,50;1;13;Netherlands;Western Europe;"Springer Netherlands";"1968-2025";"Education (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics; Social Sciences"
46;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";"Taylor and Francis Ltd.";No;No;1,580;Q1;52;29;60;3009;258;60;3,05;103,76;57,58;0;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
47;23646;"Journal of Science Education and Technology";journal;"10590145, 15731839";"Springer Netherlands";No;No;1,579;Q1;85;107;177;6670;1520;176;8,34;62,34;47,18;0;40;Netherlands;Western Europe;"Springer Netherlands";"1992-2002, 2004-2025";"Education (Q1); Engineering (miscellaneous) (Q1)";"Engineering; Social Sciences"
48;77191;"Early Childhood Research Quarterly";journal;"08852006";"Elsevier Ltd";No;No;1,565;Q1;125;112;355;7974;1607;349;3,94;71,20;72,40;2;47;United Kingdom;Western Europe;"Elsevier Ltd";"1986-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
49;21100200658;"Teacher Education and Special Education";journal;"08884064, 19444931";"SAGE Publications Inc.";No;No;1,561;Q1;28;17;54;875;259;53;3,42;51,47;69,70;0;14;United Kingdom;Western Europe;"SAGE Publications Inc.";"2015-2025";"Education (Q1)";"Social Sciences"
50;12100156088;"Critical Inquiry in Language Studies";journal;"15427595, 15427587";"Routledge";No;No;1,542;Q1;29;37;61;2154;293;59;3,30;58,22;56,06;0;6;United Kingdom;Western Europe;"Routledge";"2010-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
51;21100217601;"ZDM - International Journal on Mathematics Education";journal;"18639704, 18639690";"Springer Verlag";No;No;1,534;Q1;74;114;316;5750;1369;308;3,05;50,44;54,03;0;31;Germany;Western Europe;"Springer Verlag";"1997-2025";"Education (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics; Social Sciences"
52;14000156188;"Innovation in Language Learning and Teaching";journal;"17501237, 17501229";"Taylor and Francis Ltd.";No;No;1,529;Q1;38;89;131;4627;824;129;5,92;51,99;47,80;0;17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
53;144669;"Journal of Intellectual Capital";journal;"14691930";"Emerald Group Publishing Ltd.";No;No;1,526;Q1;118;66;170;6057;1704;161;9,43;91,77;41,62;0;44;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2025";"Business, Management and Accounting (miscellaneous) (Q1); Education (Q1)";"Business, Management and Accounting; Social Sciences"
54;14304;"Educational Review";journal;"14653397, 00131911";"Routledge";No;No;1,521;Q1;67;156;197;10522;1165;191;5,22;67,45;62,70;9;80;United Kingdom;Western Europe;"Routledge";"1948-2025";"Education (Q1)";"Social Sciences"
55;19700187630;"Critical Studies in Education";journal;"17508495, 17508487";"Taylor and Francis Ltd.";No;No;1,517;Q1;52;73;108;4540;711;102;4,21;62,19;57,14;1;38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Education (Q1)";"Social Sciences"
56;28806;"Nurse Education Today";journal;"15322793, 02606917";"Churchill Livingstone";No;No;1,483;Q1;109;325;1067;14653;6046;1047;4,97;45,09;72,42;3;155;United Kingdom;Western Europe;"Churchill Livingstone";"1981-2025";"Education (Q1); Nursing (miscellaneous) (Q1)";"Nursing; Social Sciences"
57;28879;"European Journal of Teacher Education";journal;"14695928, 02619768";"Routledge";No;No;1,440;Q1;65;130;171;6491;875;156;4,46;49,93;61,84;5;36;United Kingdom;Western Europe;"Routledge";"1982-2025";"Education (Q1)";"Social Sciences"
58;17806;"Medical Education";journal;"13652923, 03080110";"John Wiley and Sons Inc";No;No;1,439;Q1;171;308;775;8603;2195;422;2,41;27,93;61,70;0;73;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1966-2025";"Education (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
59;145220;"International Journal of Bilingual Education and Bilingualism";journal;"13670050";"Taylor and Francis Ltd.";No;No;1,410;Q1;76;107;403;5354;1812;393;4,13;50,04;65,08;1;37;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
60;5000154503;"Thinking Skills and Creativity";journal;"18711871";"Elsevier B.V.";No;No;1,410;Q1;75;228;469;16949;3107;469;6,13;74,34;49,85;0;36;Netherlands;Western Europe;"Elsevier B.V.";"2006-2025";"Education (Q1)";"Social Sciences"
61;21100902871;"International Journal for Educational Integrity";journal;"18332595";"BioMed Central Ltd";Yes;No;1,405;Q1;28;26;77;1274;785;74;10,15;49,00;52,53;1;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2015-2025";"Education (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
62;14871;"International Journal of Behavioral Development";journal;"01650254, 14640651";"SAGE Publications Ltd";No;No;1,384;Q1;112;85;167;4861;644;166;4,26;57,19;62,15;5;20;United Kingdom;Western Europe;"SAGE Publications Ltd";"1978-2025";"Developmental and Educational Psychology (Q1); Developmental Neuroscience (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Neuroscience; Psychology; Social Sciences"
63;21100901143;"Perspectives on Medical Education";journal;"22122761, 2212277X";"Ubiquity Press";Yes;No;1,379;Q1;47;68;177;2872;927;154;5,86;42,24;59,87;0;18;Netherlands;Western Europe;"Ubiquity Press";"2012-2025";"Education (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
64;145202;"Journal of Mathematics Teacher Education";journal;"13864416";"Springer Netherlands";No;No;1,367;Q1;52;84;110;4776;388;95;3,34;56,86;66,99;2;9;Netherlands;Western Europe;"Springer Netherlands";"2005-2025";"Education (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics; Social Sciences"
65;23017;"Second Language Research";journal;"14770326, 02676583";"SAGE Publications Ltd";No;No;1,366;Q1;76;56;128;3550;404;120;3,03;63,39;60,00;0;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"1985-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
66;26913;"Advances in Health Sciences Education";journal;"15731677, 13824996";"Springer Science and Business Media B.V.";No;No;1,359;Q1;86;157;253;8660;1197;233;4,28;55,16;65,08;1;53;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1996-2025";"Education (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
67;16668;"School Effectiveness and School Improvement";journal;"09243453, 17445124";"Taylor and Francis Ltd.";No;No;1,356;Q1;73;22;80;1440;360;79;2,92;65,45;33,33;0;16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2025";"Education (Q1)";"Social Sciences"
68;14271;"Educational Psychology";journal;"14695820, 01443410";"Routledge";Yes;No;1,355;Q1;90;58;220;3591;923;198;3,41;61,91;60,29;0;17;United Kingdom;Western Europe;"Routledge";"1981-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1)";"Psychology; Social Sciences"
69;20934;"Sport, Education and Society";journal;"14701243, 13573322";"Routledge";No;No;1,340;Q1;83;160;238;8963;1146;230;4,73;56,02;47,58;1;54;United Kingdom;Western Europe;"Routledge";"1996-2025";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine; Social Sciences"
70;19700187622;"Research Papers in Education";journal;"02671522, 14701146";"Taylor and Francis Ltd.";No;No;1,337;Q1;58;61;130;4134;620;129;3,68;67,77;59,88;3;27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2025";"Education (Q1)";"Social Sciences"
71;21100847441;"Journal of New Approaches in Educational Research";journal;"22547339";"Springer International Publishing";Yes;Yes;1,330;Q1;28;19;61;1041;407;61;6,23;54,79;46,15;0;7;Spain;Western Europe;"Springer International Publishing";"2017-2025";"Education (Q1)";"Social Sciences"
72;200147112;"Teaching in Higher Education";journal;"14701294, 13562517";"Routledge";No;No;1,327;Q1;82;163;280;8782;1628;274;5,98;53,88;63,40;5;46;United Kingdom;Western Europe;"Routledge";"2005-2025";"Education (Q1)";"Social Sciences"
