Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
34;21100970248;"CAAI Transactions on Intelligence Technology";journal;"24686557, 24682322";"John Wiley &amp; Sons Inc.";Yes;No;1,322;Q1;44;130;144;6425;1184;139;9,13;49,42;29,59;0;20;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2017-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1)";"Computer Science"
35;21101095931;"Complex and Intelligent Systems";journal;"21994536, 21986053";"Springer International Publishing AG";Yes;No;1,321;Q1;59;420;572;20588;4302;562;7,31;49,02;31,85;2;73;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2025";"Artificial Intelligence (Q1); Computational Mathematics (Q1); Engineering (miscellaneous) (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
36;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";"John Wiley and Sons Inc";No;No;1,264;Q1;117;181;848;9821;5291;846;5,91;54,26;28,02;1;36;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1986-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
37;24800;"Neural Computing and Applications";journal;"09410643, 14333058";"Springer London";No;No;1,256;Q2;146;1498;3463;73798;22781;3412;6,13;49,26;28,00;9;316;United Kingdom;Western Europe;"Springer London";"1993-2025";"Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
38;21100803572;"Systems Science and Control Engineering";journal;"21642583";"Taylor and Francis Ltd.";Yes;No;1,248;Q2;38;43;247;1399;1580;245;3,53;32,53;30,52;0;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Control and Optimization (Q1); Control and Systems Engineering (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering; Mathematics"
39;23674;"Applied Intelligence";journal;"0924669X, 15737497";"Springer Netherlands";No;No;1,193;Q2;108;1737;1840;84196;11378;1833;6,29;48,47;30,42;4;177;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q2)";"Computer Science"
40;18197;"Integrated Computer-Aided Engineering";journal;"10692509, 18758835";"SAGE Publications Ltd";No;No;1,186;Q2;50;20;81;1251;402;71;4,90;62,55;17,78;0;6;Netherlands;Western Europe;"SAGE Publications Ltd";"1993-2025";"Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
41;36450;"Design Studies";journal;"0142694X";"Elsevier Ltd";No;No;1,180;Q2;116;34;99;2193;507;96;4,92;64,50;49,49;0;4;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Architecture (Q1); Arts and Humanities (miscellaneous) (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Artificial Intelligence (Q2)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
42;21101019779;"Cybersecurity";journal;"20964862, 25233246";"SpringerOpen";Yes;Yes;1,136;Q2;28;57;90;2447;561;90;5,96;42,93;35,32;0;3;United Kingdom;Western Europe;"SpringerOpen";"2018-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
43;26803;"Journal of Pragmatics";journal;"03782166";"Elsevier B.V.";No;No;1,105;Q2;128;159;605;9559;1519;572;2,28;60,12;61,83;0;10;Netherlands;Western Europe;"Elsevier B.V.";"1977-2025";"Linguistics and Language (Q1); Artificial Intelligence (Q2)";"Computer Science; Social Sciences"
